,precision,recall,f1-score,support
0,0.8467602591792657,0.9150425954020306,0.8795782152672612,8569.0
1,0.943679405848677,0.8957920246750386,0.9191123836793128,13617.0
accuracy,0.9032272604345083,0.9032272604345083,0.9032272604345083,0.9032272604345083
macro avg,0.8952198325139713,0.9054173100385345,0.899345299473287,22186.0
weighted avg,0.9062458816527794,0.9032272604345083,0.9038429214453423,22186.0
